user, # samples ,tbg v.s. sat(raw), p-value, ptbg v.s. sat(raw),p-value
2014012173,49,0.224563220429,0.12084195759,0.227799171486,0.11543993593
2014013072,26,-0.191131976679,0.349625020226,-0.18923535065,0.354517286945
2014013076,23,0.0450013889033,0.83844225904,0.0559982492276,0.799665175393
2013013014,51,0.448549970998,0.000962801530238,0.454906807142,0.000797138803715
2013011103,41,0.0447657386247,0.781077280931,0.046245551666,0.774026462593
2012011297,30,-0.0521776397859,0.784214086528,-0.0353912563263,0.852705926977
2011011235,41,0.533396548507,0.000329430381515,0.527449659299,0.000394741074346
2011011239,30,0.524982150301,0.00289523470292,0.522214192941,0.00307504391087
2014620840,23,0.0199033028163,0.928177247548,0.0171734945847,0.938008139217
2014012337,37,-0.0564548753205,0.739979844406,-0.0552656993431,0.745273097526
2011011254,28,0.423760647905,0.0246284138051,0.433790091681,0.0210966557832
2012012731,24,0.422709229866,0.039599815339,0.433993801165,0.0340978686707
2014012991,37,0.496663679993,0.00176730045471,0.498920461765,0.00167093347692
2013011392,26,0.278909956307,0.167652792908,0.277828864877,0.169374939849
2013011395,34,0.463272128155,0.00579348930149,0.460350704013,0.00615170412822
2011011268,23,0.342061266555,0.110129934309,0.351558341602,0.0999720249661
2013011400,15,0.0588168463554,0.835062443193,0.0509755438751,0.856826265489
2013012946,27,0.227255269176,0.254298651383,0.23370047112,0.240709271122
2013012949,32,0.206638492683,0.256494011723,0.205757308553,0.258572656737
2013010775,34,0.196771516437,0.264680317431,0.190434640565,0.280680752569
2011012703,55,0.166289540807,0.224984667083,0.175452215672,0.200099844374
2014013409,32,0.197084946131,0.279620458237,0.198688953839,0.27564663458
2013011429,42,0.343796542209,0.0257968270144,0.34863704031,0.0236507562639
2014010728,33,0.456155821,0.00762864358156,0.457770480131,0.00739028012049
2014010219,11,-0.320593938749,0.336443955045,-0.302047625291,0.36666420234
2011010412,50,0.183169119864,0.202930774971,0.192152085006,0.181271310095
2013011437,20,0.0956000570289,0.688473085256,0.0956771613647,0.688233918361
2014011004,14,-0.33007939087,0.249088023514,-0.32257676207,0.260654557885
2013010773,37,0.129181006076,0.446054751422,0.130901816843,0.439967963517
