user,#samples,slope,intercept,r-value,p-value,stderr,slope,intercept,r-value,p-value,stderr
2014012173,35,0.000314340004519,53.315033331,0.0365485209203,0.834884830978,0.00149617578282,0.00588579363568,28.6496932027,0.278649343925,0.105032624237,0.00353133551251
2014013072,18,-0.00834756285216,100.70296333,-0.358539270939,0.144003186376,0.00543355553955,-0.00150404398767,84.6314400318,-0.0601663182287,0.812538481447,0.00623820459164
2014013076,14,-0.0133823960298,134.168900124,-0.402711446662,0.153399711997,0.00878062737272,0.0130916669965,67.3241496093,0.216697344575,0.456801269031,0.0170257721447
2013013014,23,0.00773990101243,36.4508168571,0.567765808779,0.00471417700282,0.00244881894789,0.00196323433299,49.72116173,0.187376646251,0.39192379126,0.00224587681893
2013011103,18,0.000856260270076,45.0875115433,0.0920905650748,0.716282501924,0.00231462828812,0.00112362352895,41.297448714,0.216916093681,0.387263955529,0.00126416431047
2012011297,18,0.00306690763575,35.4186209369,0.453473077952,0.0587473995651,0.00150694871616,0.00367675918108,31.9653253446,0.352792727316,0.151009323683,0.00243793933633
2011011235,45,0.00127588186627,43.8585039183,0.0832657237875,0.586585166492,0.0023286231535,0.000162333041833,46.8214198319,0.00739208656846,0.961562560291,0.00334883529847
2011011239,49,0.00191558228835,48.3381835783,0.133467901461,0.360582187643,0.00207477970975,-0.00215736197569,61.5771612831,-0.082035727854,0.57522599789,0.00382300393428
2014620840,19,0.00373348172892,57.3622110043,0.313091330842,0.191827753729,0.00274672697559,0.00953528073392,36.504879423,0.376123581303,0.112488639961,0.00569713439163
2014012337,21,0.00229080165738,44.5624976832,0.159687076631,0.48929766771,0.00324886636435,-0.00561851182072,74.3084294472,-0.31338421889,0.166569820619,0.0039058913905
2011011254,45,0.000374388330838,47.9855005569,0.0458291378355,0.764988016449,0.00124448547725,0.00577916361101,22.6708823448,0.473992251708,0.00100507313575,0.00163720548374
2012012731,6,-0.0359061784002,168.059576824,-0.695761906601,0.124760962897,0.0185339409265,0.00652926776278,58.8746103497,0.142277490904,0.788023817046,0.022712110841
2014012991,15,0.0044624182183,42.2518809557,0.345248827323,0.20754827427,0.00336438614046,0.0109235666055,17.0265402307,0.339563143891,0.215629583433,0.00839207747833
2013011392,27,-0.000547894545096,48.9689057796,-0.101779515748,0.613452107414,0.00107103932359,-0.00148898563272,53.2130230028,-0.136668210984,0.496665361376,0.00215853312061
2013011395,19,0.00280176372874,44.289982166,0.324662761201,0.175043141159,0.00197964620992,0.00583585400834,33.6511875289,0.376268891317,0.112338657757,0.00348523441381
2011011268,26,0.00078306557443,24.7206718824,0.27699036068,0.170719172649,0.000554489987279,0.00190902791885,19.4354756663,0.356297490741,0.0740062389151,0.00102191312097
2013011400,8,-0.00079307844763,77.6073658652,-0.0482368203724,0.909696160109,0.00670433960308,0.00172494715299,67.546264584,0.0701647396688,0.868872259628,0.0100117402863
2013012946,27,0.00212144471496,68.9444026301,0.13845821769,0.490989856982,0.00303486723991,0.0126223434894,20.9053072465,0.604705231798,0.000834485817846,0.00332494473736
2013012949,12,0.00126124447426,45.2733886591,0.0490543465754,0.879666802793,0.00812079643369,-0.0012275799897,52.506050544,-0.059777547157,0.853589838299,0.00648237835752
2013010775,14,0.0178829769298,12.871040982,0.804444157,0.000522173601623,0.0038120660178,0.019829471438,-32.0468439562,0.673153358723,0.00832382536607,0.0062884901646
2011012703,41,0.00162529767783,65.7720333185,0.0798536694989,0.619686834976,0.00324875257571,0.00900135618882,25.2918393692,0.473681295332,0.00175867001374,0.00267988153309
2014013409,22,0.000930603564524,79.2618439286,0.05399549225,0.811375744735,0.00384820490437,0.0172857296241,19.5475468888,0.465045961334,0.0291973246705,0.00735801554138
2013011429,25,0.0079803004717,36.0450414053,0.386421925206,0.0563825783976,0.00397169774932,0.0168571589703,-3.9933070346,0.341974720168,0.0942847269412,0.00965872760336
2014010728,37,-0.000907568816909,61.9225771328,-0.120273374335,0.478284396788,0.0012662280303,0.000605506909447,55.6102723719,0.0427645314487,0.801571993027,0.00239113380547
2014010219,22,-0.000189075948419,24.5894325622,-0.0438216564435,0.846460623316,0.000963862542428,0.00033800163476,22.9787928066,0.0365615148913,0.871674404199,0.0020658042016
2011010412,23,0.000633069069819,48.0773286238,0.0776618653508,0.724676688555,0.00177345417322,0.00755109725405,16.4862868619,0.467204014433,0.0245930944951,0.00311831207118
2013011437,20,0.000805733237523,81.4825245104,0.0228857645212,0.923703145755,0.00829613554681,-0.00297171813204,93.109205177,-0.0546324996413,0.819053628879,0.0128018047547
2014011004,23,-0.000346767448969,37.9071868527,-0.0767546356797,0.727773612414,0.000982971677165,-0.00222309928918,46.8402398403,-0.274719439637,0.204578748599,0.00169793141452
2013010773,16,0.00162034373777,45.4784131224,0.210076878578,0.434850294382,0.00201541170147,0.00122483870376,43.234735581,0.310877804381,0.241210912673,0.00100081634959
overall,#,0.000992075833859,53.5732464955,0.0781251161777,0.040500436714,0.000483351098474,0.00322097928211,43.3425763435,0.175729006348,3.53368381919e-06,0.000688923572725
