idx,doclength, imagelength
746,60,664
747,60,664
748,60,664
749,60,664
750,60,664
751,60,664
752,60,664
753,60,664
754,60,664
755,60,664
756,60,664
757,60,664
758,60,664
759,60,664
760,60,664
761,60,664
762,60,664
763,60,664
764,60,664
765,60,664
766,61,664
767,61,664
768,61,664
769,61,664
770,61,664
771,61,664
772,61,664
773,61,664
774,62,664
775,62,664
776,62,664
777,62,664
778,62,664
779,62,664
780,62,664
781,62,664
782,63,664
783,63,664
784,63,664
785,63,664
786,63,664
787,63,664
788,63,664
789,63,664
790,63,664
791,63,664
792,64,664
793,64,664
794,64,664
795,64,664
796,64,664
797,64,664
798,64,664
799,64,664
800,64,664
801,64,664
802,64,664
803,64,664
804,65,664
805,65,664
806,65,664
807,65,664
808,65,664
809,65,664
810,65,664
811,65,664
812,65,664
813,65,664
814,65,664
815,66,664
816,66,664
817,67,664
818,67,664
819,67,664
820,67,664
821,67,664
822,68,664
823,68,664
824,68,664
825,68,664
826,68,664
827,68,664
828,68,664
829,68,664
830,68,664
831,68,664
832,68,664
833,68,664
834,68,664
835,68,664
836,68,664
837,68,664
838,68,664
839,68,664
840,68,664
841,68,664
842,68,664
843,68,664
844,68,664
845,68,664
846,69,664
847,69,664
848,69,664
849,69,664
850,69,664
851,69,664
852,69,664
853,70,664
854,70,664
855,70,664
856,70,664
857,70,664
858,70,664
859,70,664
860,70,664
861,70,664
862,70,664
863,70,664
864,70,664
865,70,664
866,70,664
867,70,664
868,70,664
869,71,664
870,71,664
871,71,664
872,71,664
873,71,664
874,72,664
875,72,664
876,72,664
877,73,664
878,73,664
879,73,664
880,73,664
881,73,665
882,73,665
883,73,665
884,73,665
885,73,665
886,73,665
887,73,665
888,73,665
889,73,665
890,73,665
891,73,665
892,73,665
893,73,665
894,73,665
895,73,665
896,73,665
897,73,665
898,73,665
899,73,665
900,73,665
901,73,665
902,73,665
903,73,665
904,73,665
905,73,665
906,73,665
907,74,665
908,74,665
909,74,665
910,74,665
911,74,665
912,74,665
913,74,665
914,74,665
915,74,665
916,74,665
917,74,665
918,74,665
919,74,665
920,74,665
921,74,665
922,75,665
923,75,665
924,75,665
925,75,665
926,75,665
927,76,665
928,76,665
929,76,665
930,76,665
931,76,665
932,76,665
933,76,665
934,76,665
935,76,665
936,76,665
937,76,665
938,76,665
939,76,665
940,76,665
941,76,665
942,76,665
943,76,665
944,76,665
945,76,665
946,76,665
947,76,665
948,76,665
949,76,665
950,76,665
951,76,665
952,77,665
953,77,665
954,77,665
955,77,665
956,77,665
957,77,666
958,77,666
959,77,666
960,77,666
961,77,666
962,78,666
963,78,666
964,78,666
965,78,666
966,78,666
967,78,666
968,78,666
969,78,666
970,78,666
971,78,666
972,78,666
973,78,666
974,78,666
975,78,666
976,78,666
977,78,666
978,78,666
979,78,666
980,79,666
981,79,666
982,79,666
983,79,666
984,79,666
985,79,666
986,79,666
987,79,666
988,79,666
989,79,666
990,79,666
991,79,666
992,79,666
993,79,666
994,79,666
995,79,666
996,79,666
997,79,666
998,79,666
999,79,666
1000,79,667
1001,79,667
1002,79,667
1003,79,669
1004,80,669
1005,80,671
1006,80,671
1007,80,671
1008,80,672
1009,80,672
1010,80,672
1011,80,677
1012,80,678
1013,80,679
1014,80,680
1015,80,683
1016,81,686
1017,81,686
1018,81,688
1019,81,689
1020,81,690
1021,81,690
1022,82,693
1023,82,693
1024,82,693
1025,82,693
1026,82,697
1027,82,697
1028,82,698
1029,82,700
1030,82,700
1031,82,702
1032,82,704
1033,82,710
1034,82,712
1035,82,712
1036,82,712
1037,82,712
1038,82,712
1039,82,713
1040,83,713
1041,83,713
1042,83,714
1043,83,714
1044,83,717
1045,83,720
1046,83,724
1047,83,724
1048,83,724
1049,83,724
1050,83,726
1051,83,729
1052,83,731
1053,83,736
1054,83,737
1055,83,737
1056,83,738
1057,83,744
1058,83,744
1059,83,750
1060,83,751
1061,83,762
1062,83,768
1063,83,769
1064,83,773
1065,83,773
1066,83,773
1067,84,784
1068,84,785
1069,85,785
1070,85,792
1071,85,793
1072,85,793
1073,85,793
1074,85,793
1075,85,795
1076,85,796
1077,85,801
1078,85,812
1079,85,814
1080,85,819
1081,85,821
1082,85,825
1083,85,825
1084,85,825
1085,85,825
1086,85,825
1087,85,826
1088,85,826
1089,85,829
1090,85,831
1091,85,834
1092,85,838
1093,85,838
1094,86,838
1095,86,838
1096,86,838
1097,86,838
1098,86,838
1099,86,838
1100,86,838
1101,86,838
1102,86,838
1103,86,838
1104,86,838
1105,86,838
1106,86,838
1107,87,838
1108,87,838
1109,87,838
1110,87,838
1111,87,838
1112,87,838
1113,87,838
1114,87,838
1115,87,838
1116,87,838
1117,87,838
1118,87,838
1119,87,838
1120,87,838
1121,87,838
1122,87,838
1123,87,838
1124,87,838
1125,87,838
1126,87,838
1127,87,838
1128,87,838
1129,87,838
1130,87,838
1131,88,838
1132,88,838
1133,88,838
1134,88,838
1135,88,838
1136,88,838
1137,88,838
1138,88,838
1139,88,838
1140,88,838
1141,88,838
1142,88,838
1143,88,838
1144,88,838
1145,88,838
1146,88,838
1147,88,838
1148,88,838
1149,89,838
1150,89,838
1151,89,838
1152,89,838
1153,89,838
1154,90,838
1155,90,838
1156,90,838
1157,91,838
1158,91,838
1159,91,838
1160,91,838
1161,91,838
1162,91,838
1163,91,838
1164,91,838
1165,91,838
1166,91,838
1167,91,838
1168,91,838
1169,91,838
1170,91,838
1171,91,838
1172,91,838
1173,91,838
1174,91,838
1175,91,838
1176,91,838
1177,91,838
1178,91,838
1179,91,838
1180,91,838
1181,91,838
1182,91,838
1183,91,838
1184,91,838
1185,91,838
1186,91,838
1187,91,838
1188,91,838
1189,92,838
1190,92,838
1191,92,838
1192,92,838
1193,92,838
1194,92,838
1195,92,838
1196,92,838
1197,92,838
1198,92,838
1199,92,838
1200,92,838
1201,92,838
1202,92,838
1203,92,838
1204,92,838
1205,92,838
1206,92,838
1207,92,838
1208,92,838
1209,92,838
1210,92,838
1211,92,838
1212,93,838
1213,93,838
1214,93,838
1215,93,838
1216,93,838
1217,93,838
1218,93,838
1219,93,838
1220,93,838
1221,93,838
1222,93,838
1223,93,838
1224,93,838
1225,93,838
1226,93,838
1227,93,838
1228,93,838
1229,94,838
1230,94,838
1231,94,838
1232,94,838
1233,94,838
1234,94,838
1235,94,838
1236,94,838
1237,94,838
1238,94,838
1239,94,838
1240,94,838
1241,94,838
1242,94,838
1243,94,838
1244,94,838
1245,94,838
1246,94,838
1247,94,838
1248,95,838
1249,95,838
1250,95,838
1251,95,846
1252,95,846
1253,95,851
1254,95,858
1255,95,864
1256,95,871
1257,96,872
1258,96,872
1259,96,872
1260,96,872
1261,96,872
1262,96,872
1263,96,872
1264,96,875
1265,96,876
1266,96,876
1267,96,876
1268,96,876
1269,96,876
1270,96,876
1271,96,878
1272,96,878
1273,96,878
1274,96,878
1275,96,878
1276,96,878
1277,96,878
1278,96,878
1279,97,878
1280,97,880
1281,97,881
1282,97,883
1283,97,884
1284,97,889
1285,97,889
1286,97,889
1287,97,890
1288,97,893
1289,97,893
1290,97,894
1291,97,895
1292,97,895
1293,97,895
1294,97,896
1295,97,897
1296,97,897
1297,98,898
1298,98,901
1299,98,905
1300,98,908
1301,98,909
1302,98,909
1303,98,910
1304,98,910
1305,98,910
1306,98,911
1307,98,911
1308,98,911
1309,98,912
1310,98,912
1311,98,912
1312,98,912
1313,98,914
1314,98,914
1315,98,916
1316,98,916
1317,99,920
1318,99,920
1319,100,923
1320,100,926
1321,100,928
1322,100,929
1323,100,933
1324,100,934
1325,100,936
1326,100,937
1327,100,939
1328,100,942
1329,100,947
1330,100,947
1331,100,950
1332,100,958
1333,100,959
1334,100,959
1335,100,963
1336,100,969
1337,100,971
1338,100,971
1339,100,973
1340,100,973
1341,100,973
1342,100,973
1343,100,976
1344,100,981
1345,100,982
1346,100,982
1347,100,982
1348,100,983
1349,100,983
1350,100,986
1351,101,986
1352,101,986
1353,101,989
1354,101,991
1355,101,996
1356,102,997
1357,103,999
1358,103,1009
1359,103,1010
1360,103,1012
1361,103,1014
1362,103,1015
1363,103,1018
1364,104,1020
1365,104,1020
1366,104,1020
1367,104,1020
1368,104,1021
1369,104,1026
1370,104,1028
1371,104,1029
1372,104,1030
1373,104,1031
1374,104,1031
1375,104,1031
1376,104,1031
1377,104,1037
1378,105,1041
1379,105,1041
1380,105,1049
1381,105,1052
1382,105,1053
1383,105,1055
1384,105,1063
1385,105,1067
1386,105,1070
1387,105,1071
1388,105,1071
1389,105,1071
1390,105,1071
1391,105,1071
1392,106,1071
1393,106,1073
1394,107,1073
1395,107,1075
1396,107,1075
1397,107,1082
1398,107,1082
1399,108,1082
1400,108,1082
1401,110,1082
1402,110,1082
1403,110,1082
1404,110,1082
1405,110,1082
1406,110,1082
1407,110,1083
1408,110,1083
1409,110,1083
1410,111,1083
1411,111,1087
1412,111,1089
1413,111,1092
1414,111,1098
1415,111,1099
1416,111,1099
1417,111,1100
1418,111,1102
1419,111,1107
1420,111,1109
1421,111,1109
1422,111,1109
1423,111,1109
1424,111,1109
1425,111,1109
1426,111,1110
1427,111,1113
1428,111,1114
1429,111,1115
1430,111,1115
1431,111,1115
1432,111,1115
1433,111,1115
1434,112,1115
1435,112,1115
1436,112,1115
1437,112,1115
1438,112,1115
1439,112,1115
1440,113,1115
1441,113,1115
1442,113,1115
1443,113,1115
1444,113,1115
1445,113,1115
1446,113,1121
1447,114,1121
1448,114,1121
1449,114,1121
1450,115,1121
1451,115,1121
1452,115,1121
1453,115,1121
1454,115,1123
1455,115,1125
1456,115,1129
1457,116,1131
1458,116,1133
1459,116,1134
1460,116,1139
1461,116,1140
1462,116,1141
1463,116,1142
1464,116,1142
1465,116,1142
1466,116,1145
1467,116,1149
1468,117,1154
1469,117,1154
1470,117,1154
1471,117,1154
1472,118,1154
1473,118,1154
1474,118,1154
1475,118,1154
1476,120,1156
1477,120,1159
1478,120,1160
1479,121,1160
1480,122,1160
1481,122,1160
1482,122,1160
1483,122,1160
1484,122,1160
1485,122,1160
1486,122,1160
1487,122,1160
1488,122,1160
1489,122,1160
1490,122,1160
1491,122,1160
1492,122,1160
1493,122,1165
1494,124,1169
1495,124,1169
1496,124,1171
1497,124,1171
1498,124,1172
1499,125,1174
1500,125,1174
1501,126,1174
1502,126,1178
1503,126,1179
1504,127,1182
1505,127,1182
