user	# of sessions	tbg vs SAT	p-value	ptbg vs SAT	p-value
2014012173	51	0.623509673561	1.02182601159e-06	0.622184149369	1.09376511658e-06
2014013072	32	0.425545506447	0.0151752043919	0.424896212644	0.0153476646739
2014013076	28	0.48351193929	0.00914303594636	0.483335130173	0.00917224745494
2013013014	41	0.48304527888	0.00137924511785	0.481930444084	0.0014202443656
2013011103	40	0.533006039419	0.000398636209149	0.532777466016	0.000401369738161
2012011297	34	0.299447948354	0.0853440642702	0.298350161266	0.0865518262405
2011011235	53	0.337039664971	0.0135925800336	0.336215236758	0.0138380879557
2011011239	44	0.306945988037	0.0426983130575	0.30341474779	0.0452674561234
2014620840	25	0.540599329278	0.00527034969892	0.538228621286	0.00551299859018
2014012337	35	0.468864216401	0.00449648330115	0.468814831975	0.00450127620838
2011011254	38	0.2782923046	0.0906828172823	0.277521985829	0.0916167525868
2012012731	28	0.564552528916	0.00175042064937	0.562949092789	0.00181605706035
2014012991	38	0.547857617255	0.00037037551353	0.545646590595	0.00039547036913
2013011392	29	0.73459369471	5.70373645454e-06	0.734706881033	5.67520802857e-06
2013011395	41	0.45200650753	0.00300914306436	0.45117751813	0.00306950826187
2011011268	42	0.224757572999	0.152424286701	0.222042407297	0.157571930834
2013011400	39	0.593079780777	6.92616844094e-05	0.59130883465	7.37205800181e-05
2013012946	30	0.391164029721	0.0325611710464	0.389697648437	0.0332758879672
2013012949	34	0.485866984687	0.00357842256428	0.485379894981	0.00361702205792
2013010775	36	0.227808764153	0.181463475842	0.22744335754	0.182183857207
2011012703	56	0.264854952808	0.0485326393924	0.263397525808	0.0498302876915
2014013409	33	0.430081440942	0.0124843155898	0.427119745517	0.013172210381
2013011429	49	0.499000063916	0.000262659452675	0.498490977306	0.000267102318392
2014010728	36	0.641545191582	2.48081118958e-05	0.641148981493	2.51886620633e-05
2014010219	19	0.303752347812	0.2061334366	0.303195192452	0.207008533488
2011010412	52	0.373994106451	0.00630966260274	0.372902735223	0.00647627004419
2013011437	25	0.227264575315	0.274603768091	0.223136443763	0.283650707924
2014011004	49	0.505192272004	0.000213731178445	0.504769355365	0.000216788766245
2013010773	46	0.469436298145	0.000997593416121	0.467606422506	0.00105047954288
