user,dwelltime,dlength,dheight
2011011254,21.024,230,8446
2011011254,98.424,4243,8154
2011011254,36.462,3293,2676
2011011254,10.392,142,1169
2011011254,78.416,11073,3696
2011011254,47.679,634,5739
2011011254,50.36,4525,3965
2011011254,149.319,519,3193
2011011254,11.404,313,1324
2011011254,12.352,373,1808
2011011254,14.349,8063,2662
2011011254,25.247,350,4863
2011011254,32.342,860,3268
2011011254,21.83,21460,11118
2011011254,15.156,369,3348
2011011254,94.621,3004,2506
2011011254,163.565,10512,8062
2011011254,58.416,413,2369
2011011254,54.742,3832,2848
2011011254,10.103,285,11241
2011011254,40.858,2609,2383
2011011254,18.6,550,4245
2012012731,36.931,4511,2433
2012012731,59.848,2007,2063
2012012731,245.492,691,4204
2012012731,34.361,3600,6762
2014012991,11.065,726,6503
2014012991,50.723,363,4668
2014012991,49.025,2897,2802
2014012991,39.946,2883,5811
2014012991,46.766,652,1455
2014012991,156.073,17506,5856
2014012991,15.664,4139,2081
2014012991,35.95,550,4245
2013011392,17.578,429,1824
2013011392,14.604,29867,10190
2013011392,17.533,20316,14914
2013011392,24.31,427,712
2013011392,17.537,726,6503
2013011392,53.673,4243,8154
2013011392,59.649,1224,1573
2013011392,130.736,105,2571
2013011392,11.702,415,2430
2013011392,16.13,386,3455
2013011392,16.886,1104,9651
2013011392,27.599,2876,1491
2013011392,69.557,860,3268
2013011392,83.427,369,3348
2013011392,10.936,428,2627
2013011392,27.006,1640,2149
2013011392,98.114,2458,5199
2013011392,44.109,401,3540
2013011392,106.254,9731,4260
2013011392,14.457,1266,3172
2013011395,135.999,10891,5636
2013011395,24.03,869,2935
2013011395,53.588,2007,2063
2013011395,38.96,105,1616
2013011395,78.212,557,2826
2013011395,38.802,9901,4640
2013011395,32.546,2129,2123
2013011395,13.897,13592,1805
2013011395,87.24,2193,2747
2013011395,137.802,10512,8062
2013011395,42.387,3928,10489
2013011395,69.07,550,4245
2013011395,42.172,2609,2383
2011011268,17.085,747,2572
2011011268,10.193,4107,2541
2011011268,78.405,8461,10267
2011011268,17.152,521,2393
2011011268,8.835,643,2972
2011011268,27.972,5326,3793
2011011268,22.246,519,3193
2011011268,11.733,417,2810
2011011268,21.703,1227,2189
2011011268,30.185,3410,2523
2011011268,50.141,988,5245
2011011268,33.893,5888,2951
2011011268,32.813,20353,7271
2011011268,9.64,4587,4550
2011011268,7.131,2458,5199
2011011268,8.957,440,2967
2011011268,35.459,413,2369
2011011268,21.14,3928,10489
2013011400,56.209,12803,7561
2013011400,226.387,3004,2506
2013011400,52.098,550,4245
2013012946,159.714,10374,6822
2013012946,83.236,4243,8154
2013012946,63.094,230,8446
2013012946,106.439,2007,2063
2013012946,178.707,1202,7756
2013012946,29.036,105,1616
2013012946,62.517,386,3455
2013012946,170.085,1104,9615
2013012946,26.334,3283,2430
2013012946,108.239,2217,2629
2013012946,35.586,14050,2976
2013012946,55.557,2458,5199
2013012946,205.181,401,3540
2013012946,38.128,2609,2383
2013012946,47.293,550,4245
2013012946,15.805,621,2013
2013012949,48.839,4243,8154
2013012949,95.515,4525,3965
2013012949,44.197,638,2377
2013012949,18.616,4747,3773
2013012949,39.896,2207,3650
2013012949,135.659,1839,1960
2013012949,31.947,2843,2383
2013010775,33.678,760,1824
2013010775,27.923,685,6767
2013010775,7.916,1218,1650
2013010775,313.601,13017,9935
2013010775,100.809,1104,9651
2013010775,36.381,860,3268
2013010775,10.473,2207,3650
2013010775,48.207,2193,2747
2013010775,64.121,413,2369
2013010775,44.491,1470,2040
2013010775,42.132,550,4245
2011012703,38.173,760,1824
2011012703,85.434,230,8446
2011012703,15.608,3606,2914
2011012703,106.257,13488,12849
2011012703,9.847,643,2972
2011012703,19.136,3180,916
2011012703,402.862,1202,7756
2011012703,116.413,3341,11773
2011012703,97.34,386,3455
2011012703,69.024,413,2535
2011012703,14.438,5285,8424
2011012703,54.362,344,9578
2011012703,191.579,369,3388
2011012703,150.534,10693,7510
2011012703,59.124,485,2627
2011012703,32.815,2207,3650
2011012703,25.925,2193,2781
2011012703,126.128,10512,8062
2011012703,80.01,401,3540
2011012703,20.922,543,1393
2011012703,40.911,4836,4238
2014013409,14.473,581,1824
2014013409,70.888,20366,8323
2014013409,262.88,8461,10360
2014013409,100.052,5160,6135
2014013409,121.735,519,3193
2014013409,9.863,104,2274
2014013409,44.028,2677,3908
2014013409,128.325,5425,3210
2014013409,27.477,1622,1113
2014013409,66.887,14383,1805
2014013409,55.842,7105,4350
2014013409,63.506,2458,5199
2014013409,40.0,550,4245
2013011429,472.629,10891,5636
2013011429,36.654,760,1824
2013011429,20.04,726,6503
2013011429,26.565,516,3716
2013011429,153.799,8461,10360
2013011429,105.917,947,2377
2013011429,47.967,6863,3636
2013011429,103.209,1276,4566
2013011429,37.124,475,4688
2013011429,50.007,860,3268
2013011429,114.09,6872,3425
2013011429,28.646,3671,3284
2013011429,19.155,1640,2149
2013011429,6.641,13592,1805
2013011429,55.255,2458,5199
2013011429,11.404,413,2369
2013011429,31.843,3238,4025
2013011429,65.84,9731,4260
2014010728,85.196,2052,8729
2014010728,81.982,4243,8154
2014010728,22.598,726,6503
2014010728,19.291,145,3962
2014010728,71.288,2007,2063
2014010728,11.727,3293,2676
2014010728,44.284,634,5739
2014010728,28.114,3711,4136
2014010728,14.656,23435,11131
2014010728,80.827,344,5237
2014010728,35.053,636,4713
2014010728,134.451,569,3717
2014010728,26.543,2529,3660
2014010728,49.78,3004,2506
2014010728,5.445,5572,3401
2014010728,102.524,310,1628
2014010728,7.464,10512,8062
2014010728,127.337,401,3540
2014010728,48.241,3832,2848
2014010728,117.604,6751,4786
2014010219,10.179,311,1511
2014010219,31.759,1733,1919
2014010219,44.612,726,6503
2014010219,28.667,647,2145
2014010219,16.042,3293,2676
2014010219,5.173,2007,2063
2014010219,15.095,158,1954
2014010219,22.075,874,5380
2014010219,11.353,811,3511
2014010219,12.24,8063,2662
2014010219,11.286,392,4790
2014010219,8.563,369,3348
2014010219,5.666,107,2061
2014010219,14.394,3004,2506
2014010219,22.426,13592,1805
2014010219,13.487,2729,1213
2014010219,9.511,2458,5199
2014010219,29.893,413,2369
2014010219,21.941,621,1973
2011010412,64.539,20894,12044
2011010412,7.231,429,1824
2011010412,36.896,230,8446
2011010412,39.049,1270,2448
2011010412,47.933,2780,3810
2011010412,14.15,2007,2063
2011010412,228.568,1202,7756
2011010412,65.907,344,9578
2011010412,17.507,4855,4075
2011010412,12.258,506,3085
2011010412,15.535,3004,2506
2011010412,13.427,103,2495
2011010412,49.321,580,1680
2011010412,69.999,310,1628
2011010412,98.607,10512,8062
2011010412,51.164,413,2369
2011010412,19.727,621,1973
2013011437,121.088,4243,8154
2013011437,14.644,726,6503
2013011437,104.252,2007,2063
2013011437,25.595,519,3193
2013011437,14.039,454,2319
2013011437,72.332,392,4790
2013011437,39.784,579,3267
2013011437,30.986,3283,2430
2013011437,285.656,506,1585
2013011437,16.602,506,3085
2013011437,82.638,3004,2506
2013011437,132.657,310,1628
2013011437,330.776,401,3540
2013011437,150.481,9731,4260
2013011437,42.246,550,4245
2014011004,39.374,2052,8729
2014011004,15.327,20894,12044
2014011004,37.277,726,6503
2014011004,13.29,925,2493
2014011004,74.93,466,872
2014011004,23.852,1203,7756
2014011004,38.952,3806,4620
2014011004,20.169,679,5365
2014011004,116.078,4445,2079
2014011004,64.32,298,1041
2014011004,59.361,10512,8062
2013010773,36.88,1416,1616
2013010773,79.664,4243,8154
2013010773,25.03,516,3716
2013010773,73.364,5675,4603
2013010773,9.475,103,1878
2013010773,120.039,1202,7756
2013010773,59.195,308,32766
2013010773,32.257,392,4790
2013010773,16.122,506,1585
2013010773,39.649,14050,2976
2013010773,22.308,2458,5199
2013010773,68.53,401,3540
2013010773,46.174,3238,4025
2013010773,64.702,6850,3523
