user	# of sessions	tbg vs SAT	p-value	ptbg vs SAT	p-value
2014012173	7	0.71275387968	0.0722379708666	0.711786198766	0.0728060607431
2014013072	10	0.380589924407	0.277932797766	0.380858561579	0.277565441669
2014013076	11	0.736184855261	0.00978657814223	0.737379383291	0.00960692579688
2013013014	7	0.263627608382	0.567840561159	0.264593334902	0.566369605977
2013011103	9	0.430345405207	0.247585838532	0.429562980308	0.248542046692
2012011297	8	0.536112378137	0.17079097177	0.533505537051	0.173282621727
2011011235	33	0.30685119079	0.0823979350776	0.305879682664	0.0834233507761
2011011239	27	0.383415030531	0.048359126031	0.378319241209	0.0516786306512
2014620840	8	0.692153755189	0.0571329625532	0.69564015163	0.0553754890982
2014012337	3	0.759416465685	0.450969091495	0.758861172202	0.451512178367
2011011254	16	0.286719553696	0.281633628739	0.286651299752	0.281753276342
2012012731	8	0.142027812416	0.737257393204	0.139111159716	0.742512123417
2014012991	8	0.3544110925	0.389028090649	0.347718399123	0.398674253787
2013011392	8	0.834201221879	0.0100243277473	0.836213601772	0.00967921547609
2013011395	17	0.549836668962	0.0222209429452	0.548478638422	0.0226212992921
2011011268	13	0.497751905286	0.083468565211	0.491411590967	0.0881101788331
2013011400	13	0.515633583432	0.0712947408376	0.51324318041	0.0728452859309
2013012946	11	0.761516231949	0.00646707543579	0.7602665534	0.00660799469638
2013012949	3	0.426886937737	0.719220455618	0.426780001591	0.719295735269
2013010775	3	0.315108146173	0.795918415544	0.31471193261	0.796184174337
2011012703	14	0.150976682848	0.60640999606	0.148059571393	0.613462598995
2014013409	9	0.589872529298	0.0945444383485	0.584754122862	0.0981658236691
2013011429	7	0.203756254466	0.661228149887	0.203830512618	0.661109856739
2014010728	16	0.645668243739	0.00690091428132	0.645506241737	0.00691961065434
2014010219	11	0.483092839407	0.132259837237	0.482507481245	0.132798153223
2011010412	15	0.301534882732	0.274745435093	0.299840547386	0.277584729863
2013011437	6	0.0954817025197	0.857212687889	0.0700601731557	0.895081682919
2014011004	21	0.498898984573	0.0213212117934	0.49884400427	0.0213377838743
2013010773	11	0.422400412552	0.195595760279	0.421444143725	0.196716795812
