user	tbg & satisfaction	p-value	ptbg & satisfaction	p-value
2014012173	0.701571608813	9.31642834548e-05	0.700304674508	9.71323598117e-05
2014013072	0.313627960732	0.220255578698	0.312035950016	0.222732815435
2014013076	0.603985923293	0.0061702495666	0.604134293496	0.00615427229947
2013013014	0.525112915484	0.0444298396923	0.523406255083	0.0452522272634
2013011103	0.581501665231	0.00901496215262	0.581904265688	0.00895604672885
2012011297	0.500350794653	0.034452787697	0.498788410808	0.0351107196442
2011011235	0.313972695189	0.0379392543658	0.312922210813	0.038621753257
2011011239	0.304739406249	0.0797035491244	0.300023559962	0.08471599456
2014620840	0.420938798235	0.133914748173	0.41751335372	0.137442560547
2014012337	0.71897507039	0.0037586149498	0.719383020845	0.00372965123487
2011011254	0.141941758628	0.508220593794	0.141691865639	0.508975227753
2012012731	0.370562963136	0.192138352182	0.366586090249	0.19732621622
2014012991	0.448681409483	0.0472207834986	0.445336706844	0.0490976323187
2013011392	0.630379339586	0.00504032374598	0.63101448057	0.0049829935747
2013011395	0.606221776131	0.00168897557889	0.605198229729	0.00172816418704
2011011268	0.373855629113	0.0500200333863	0.370349787471	0.0523824834463
2013011400	0.522725361879	0.00255366973214	0.520747568633	0.00266919829751
2013012946	0.450565104002	0.0309593697762	0.448885546614	0.0316686212476
2013012949	0.536812623374	0.0719310030761	0.536788554205	0.0719462121845
2013010775	0.551393056603	0.0786983828615	0.551448479142	0.0786621001997
2011012703	0.247826206013	0.186691021656	0.245944209868	0.190167995693
2014013409	0.590608346082	0.00775662486828	0.586111233798	0.00835885806394
2013011429	0.514341830198	0.0203300881948	0.513847637181	0.020471694232
2014010728	0.699640873939	0.000141779942651	0.699280306094	0.000143391818899
2014010219	0.366329003649	0.179287461546	0.365498465639	0.180350555321
2011010412	0.484222810708	0.0057755512297	0.482573392867	0.00596889190566
2013011437	0.314312092422	0.295612347859	0.3035320891	0.313369634236
2014011004	0.583999576264	0.000703562360058	0.583636488957	0.000710299963717
2013010773	0.455720485085	0.0148045886528	0.453283303744	0.0154158761671
