2014012173
164.479,87.206,85.439,8.171,10.544,29.821,19.57,57.772,56.102,86.023,42.355,19.154,71.784,63.372,33.29,14.827,40.841,14.167,17.008,53.659,15.423
3401,230,4243,128,483,3293,643,196,1202,11895,1104,2876,860,6373,2715,17141,2458,29911,5438,5296,277
4575,8446,8154,1642,2205,2676,2972,872,7756,6312,3641,1491,3268,5441,3294,4858,5199,8612,10489,5695,2967
2014013072
78.479,14.171,90.064,46.955,29.523,247.808,7.916,87.998,8.811,9.113,56.237,50.08,75.074,213.756,31.996,49.422
2052,10891,4243,927,2007,634,422,386,415,392,4433,368,2193,310,401,5296
8729,5636,8154,1177,2063,5739,2613,3455,2430,4790,4739,2967,2747,1628,3540,5695
2014013076
70.764,84.625,137.406,34.543,171.193,31.393,100.134,257.639,110.533,164.063,39.628
311,2007,6193,424,344,2105,860,368,2435,401,3689
1511,2063,3138,1647,5237,2492,3268,2967,3163,3540,1673
2013013014
16.54,97.184,6.371,5.791,82.692,49.694,106.271,22.036,10.853,46.383,99.752,134.309,7.233,51.832,32.427,64.961
581,5675,4243,2007,139,386,2385,1027,350,860,3681,10512,8278,535,550,2609
1627,4603,8154,2063,2678,3455,3671,1403,4863,3268,1755,8062,4900,20048,4245,2383
2013011103
54.329,66.663,66.021,24.567,14.511,91.405,43.365,28.467,21.805,32.103,37.538,6.46
10374,4243,5611,421,1293,8011,3004,2458,5438,550,2609,9693
6822,8154,27011,3217,3397,8423,2506,5199,10489,4245,2383,3287
2012011297
9.798,49.488,11.476,58.676,80.069,46.61,41.18,61.039,81.24,26.771,35.289,71.869,58.836
429,4243,301,2007,4525,1104,392,5425,13592,1640,2458,413,550
1824,8154,1160,2063,3965,3641,4790,3210,1805,2149,5199,2369,4245
2011011235
16.294,20.1,58.584,15.787,23.097,47.038,105.905,5.905,33.466,44.502,60.141,216.827,93.229,6.036,5.251,14.74,165.886,12.402,15.47,84.569,62.801,46.693,9.975,50.469
2052,230,4243,1200,521,2007,3513,342,519,860,3681,368,7551,13592,1640,376,310,2458,2714,413,3238,4120,621,5296
8729,8446,8154,7049,2393,2063,7874,4789,3193,3268,1755,2967,5015,1805,2149,1605,1628,5199,4546,2369,4025,1123,1973,5695
2011011239
49.725,85.347,17.094,17.406,27.637,389.267,88.556,23.671,22.053,9.571,27.222,33.778,25.203,77.304,59.071,57.345,38.683,16.976,138.177,185.961,93.413,97.729,50.233,16.232,71.018
2052,427,516,4390,1270,142,1202,2646,874,519,105,1383,319,860,3681,368,988,13592,2193,22357,310,10512,413,621,6850
8729,712,3716,2558,2448,1488,7756,1715,5380,3193,1616,1854,9578,3268,1755,2967,5245,1805,2747,2041,1628,8062,2369,1973,3523
2014620840
81.947,83.648,7.299,21.74,180.373,43.096,176.746,71.581,149.011,42.625,40.57,48.164
726,4243,2007,5832,6373,506,107,3004,310,413,5527,3148
6503,8154,2063,1788,5699,1585,2061,2506,1628,2369,3125,1924
2014012337
16.973,23.816,15.131,81.397,9.559,5.096,7.238,37.039,15.701,21.069,158.635,31.311,5.12,52.435,23.268,43.315,39.878
374,458,3718,4511,1172,3293,142,158,573,392,2096,3681,3671,4888,7166,352,1125
