user, # samples ,tbg v.s. sat(raw), p-value, ptbg v.s. sat(raw),p-value
2014012173,49,0.233712100306,0.106046209608,0.236728706446,0.10148556241
2014013072,26,-0.205397363918,0.314126285608,-0.204229389668,0.316946184886
2014013076,23,0.0270344566815,0.902547112454,0.0364932858258,0.868699830041
2013013014,51,0.439009849719,0.00126964228303,0.444825560779,0.00107362709557
2013011103,41,0.0508764714685,0.752079531225,0.0523256216972,0.745250182917
2012011297,30,-0.0756167934511,0.691263538433,-0.0607725164318,0.749714494932
2011011235,41,0.537881043473,0.000286788945825,0.533296129337,0.000330447219661
2011011239,30,0.534679530174,0.00233485909114,0.532518839836,0.0024508399375
2014620840,23,0.0136016640041,0.950884435299,0.0113992090392,0.958830317223
2014012337,37,-0.0522220160814,0.758873099623,-0.0512390539746,0.763280746154
2011011254,28,0.419905128711,0.0261081610518,0.42992311586,0.0224056733335
2012012731,24,0.415168534185,0.04365074838,0.425115681208,0.0383714705669
2014012991,37,0.492408382752,0.00196236368217,0.494860179559,0.00184778840432
2013011392,26,0.300594267837,0.135669955786,0.299867398294,0.136664691433
2013011395,34,0.458952972398,0.00632969575,0.457192800059,0.00656010148286
2011011268,23,0.337625912475,0.115124274373,0.346422415054,0.105375569973
2013011400,15,0.0609095761125,0.829272088582,0.0549273395314,0.845844989909
2013012946,27,0.222714978819,0.264166507296,0.22899966286,0.25057227388
2013012949,32,0.219666409301,0.227045574053,0.21902093968,0.228448265963
2013010775,34,0.212423837831,0.227768490573,0.207288960245,0.239470350866
2011012703,55,0.152095085633,0.267635815606,0.160208547919,0.242639903037
2014013409,32,0.205855524181,0.258340426727,0.207453978266,0.254580181631
2013011429,42,0.342603654295,0.0263498738942,0.346668693787,0.0245047381881
2014010728,33,0.453480519129,0.00803799551271,0.45509730582,0.00778843400589
2014010219,11,-0.360273788285,0.276426518639,-0.343836476079,0.300509209732
2011010412,50,0.175923092233,0.221685437118,0.184335482592,0.200019805182
2013011437,20,0.0942355634561,0.692710245317,0.0944577601238,0.692019655223
2014011004,14,-0.341490008552,0.232104430836,-0.335179263506,0.241406718744
2013010773,37,0.134503777604,0.427376026756,0.136019129819,0.422139213049
